,Neighbourhood,Average Price
0,Bayview,95.05555555555556
1,Bernal Heights,132.4223107569721
2,Castro/Upper Market,169.18345323741008
3,Chinatown,198.76
4,Crocker Amazon,85.9
5,Diamond Heights,144.15384615384616
6,Downtown/Civic Center,216.4887459807074
7,Excelsior,85.29906542056075
8,Financial District,209.19811320754718
9,Glen Park,143.8
10,Golden Gate Park,121.25
11,Haight Ashbury,144.16287878787878
12,Inner Richmond,135.46022727272728
13,Inner Sunset,146.5943396226415
14,Lakeshore,119.1025641025641
15,Marina,199.3736842105263
16,Mission,146.7957142857143
17,Nob Hill,180.14414414414415
18,Noe Valley,173.55803571428572
19,North Beach,176.27927927927928
20,Ocean View,114.51898734177215
21,Outer Mission,122.68867924528301
22,Outer Richmond,133.91525423728814
23,Outer Sunset,111.8719512195122
24,Pacific Heights,191.01408450704224
25,Parkside,199.01298701298703
26,Potrero Hill,243.8841463414634
27,Presidio,160.0
28,Presidio Heights,174.8148148148148
29,Russian Hill,211.22556390977442
30,Seacliff,146.33333333333334
31,South of Market,258.22197802197803
32,Treasure Island/YBI,93.42105263157895
33,Twin Peaks,145.04347826086956
34,Visitacion Valley,112.6923076923077
35,West of Twin Peaks,118.56410256410257
36,Western Addition,165.98373983739836
